Date,Player,Team,Opp,Type,Edge,Reason
2026-02-03,Shayne Gostisbehere,CAR,OTT,🚀 OVER,2.06,HOME vs OTT | SIEVE G | L5: 3.5 vs Avg: 2.14
2026-02-02,Barrett Hayton,UTA,VAN,🚀 OVER,1.7,HOME vs VAN | SIEVE G | L5: 2.8 vs Avg: 1.8
2026-02-02,Sam Malinski,COL,DET,🚀 OVER,1.7,HOME vs DET | AVG G | L5: 3.5 vs Avg: 2.0
2026-02-02,Michael Bunting,NSH,STL,🚀 OVER,1.57,HOME vs STL | SIEVE G | L5: 2.7 vs Avg: 1.83
2026-02-03,Tony DeAngelo,NYI,PIT,🚀 OVER,1.54,HOME vs PIT | SIEVE G | L5: 2.8 vs Avg: 1.96
2026-02-03,Evan Bouchard,EDM,TOR,🚀 OVER,1.5,HOME vs TOR | AVG G | L5: 4.1 vs Avg: 2.8
2026-02-02,Vladimir Tarasenko,MIN,MTL,🚀 OVER,1.44,HOME vs MTL | SIEVE G | L5: 2.7 vs Avg: 1.96
2026-02-02,Alex Vlasic,CHI,SJS,🚀 OVER,1.44,HOME vs SJS | SIEVE G | L5: 1.8 vs Avg: 1.06
2026-02-03,Charlie Coyle,CBJ,NJD,🚀 OVER,1.36,AWAY vs NJD | AVG G | L5: 3.3 vs Avg: 1.74
2026-02-03,Jordan Staal,CAR,OTT,🚀 OVER,1.33,HOME vs OTT | SIEVE G | L5: 2.0 vs Avg: 1.37
2026-02-03,Beckett Sennecke,ANA,SEA,🚀 OVER,1.32,HOME vs SEA | AVG G | L5: 3.4 vs Avg: 2.28
2026-02-03,Emil Heineman,NYI,PIT,🚀 OVER,1.2,HOME vs PIT | SIEVE G | L5: 2.7 vs Avg: 2.2
2026-02-02,Ross Colton,COL,DET,🚀 OVER,1.2,HOME vs DET | AVG G | L5: 3.4 vs Avg: 2.4
2026-02-03,Dylan Strome,WSH,PHI,🚀 OVER,1.2,AWAY vs PHI | SIEVE G | L5: 2.9 vs Avg: 2.0
2026-02-02,Ryan Hartman,MIN,MTL,🚀 OVER,1.18,HOME vs MTL | SIEVE G | L5: 2.5 vs Avg: 2.02
2026-02-02,Jack McBain,UTA,VAN,🚀 OVER,1.16,HOME vs VAN | SIEVE G | L5: 1.9 vs Avg: 1.44
2026-02-02,Filip Forsberg,NSH,STL,🚀 OVER,1.16,HOME vs STL | SIEVE G | L5: 3.5 vs Avg: 3.04
2026-02-02,Roman Josi,NSH,STL,🚀 OVER,1.16,HOME vs STL | SIEVE G | L5: 3.2 vs Avg: 2.74
2026-02-03,Anders Lee,NYI,PIT,🚀 OVER,1.15,HOME vs PIT | SIEVE G | L5: 2.9 vs Avg: 2.45
2026-02-02,Frank Nazar,CHI,SJS,🚀 OVER,1.15,HOME vs SJS | SIEVE G | L5: 2.6 vs Avg: 2.15
2026-02-02,Jimmy Snuggerud,STL,NSH,🚀 OVER,1.14,AWAY vs NSH | SIEVE G | L5: 3.0 vs Avg: 2.16
2026-02-02,Nicolas Hague,NSH,STL,🚀 OVER,1.12,HOME vs STL | SIEVE G | L5: 1.2 vs Avg: 0.78
2026-02-02,Jonathan Marchessault,NSH,STL,🚀 OVER,1.09,HOME vs STL | SIEVE G | L5: 2.7 vs Avg: 2.31
2026-02-02,Dylan Holloway,STL,NSH,🚀 OVER,1.08,AWAY vs NSH | SIEVE G | L5: 3.1 vs Avg: 2.32
2026-02-03,Matvei Michkov,PHI,WSH,🚀 OVER,1.05,HOME vs WSH | AVG G | L5: 3.0 vs Avg: 2.15
2026-02-03,Jake Walman,EDM,TOR,🚀 OVER,1.05,HOME vs TOR | AVG G | L5: 2.7 vs Avg: 1.85
2026-02-02,Thomas Harley,DAL,WPG,🚀 OVER,1.02,HOME vs WPG | AVG G | L5: 2.4 vs Avg: 1.58
2026-02-03,Matias Maccelli,TOR,EDM,🚀 OVER,1.02,AWAY vs EDM | SIEVE G | L5: 1.9 vs Avg: 1.18
2026-02-03,Jean-Gabriel Pageau,NYI,PIT,🚀 OVER,1.01,HOME vs PIT | SIEVE G | L5: 1.4 vs Avg: 1.09
2026-02-02,Ryan O'Reilly,NSH,STL,🚀 OVER,0.99,HOME vs STL | SIEVE G | L5: 2.1 vs Avg: 1.81
2026-02-03,Owen Tippett,PHI,WSH,🚀 OVER,0.95,HOME vs WSH | AVG G | L5: 3.4 vs Avg: 2.65
2026-02-03,Justin Sourdif,WSH,PHI,🚀 OVER,0.94,AWAY vs PHI | SIEVE G | L5: 2.1 vs Avg: 1.46
2026-02-03,Jake McCabe,TOR,EDM,🚀 OVER,0.93,AWAY vs EDM | SIEVE G | L5: 1.5 vs Avg: 0.87
2026-02-03,Anthony Duclair,NYI,PIT,🚀 OVER,0.93,HOME vs PIT | SIEVE G | L5: 1.5 vs Avg: 1.27
2026-02-03,Darren Raddysh,TBL,BUF,🚀 OVER,0.86,HOME vs BUF | AVG G | L5: 3.2 vs Avg: 2.54
2026-02-03,Nikolaj Ehlers,CAR,OTT,🚀 OVER,0.86,HOME vs OTT | SIEVE G | L5: 2.6 vs Avg: 2.44
2026-02-03,Tim Stützle,OTT,CAR,🚀 OVER,0.86,AWAY vs CAR | SIEVE G | L5: 3.1 vs Avg: 2.54
2026-02-02,Teuvo Teravainen,CHI,SJS,🚀 OVER,0.85,HOME vs SJS | SIEVE G | L5: 1.4 vs Avg: 1.25
2026-02-02,Nate Schmidt,UTA,VAN,🚀 OVER,0.85,HOME vs VAN | SIEVE G | L5: 1.2 vs Avg: 1.05
2026-02-03,Alex Ovechkin,WSH,PHI,🚀 OVER,0.81,AWAY vs PHI | SIEVE G | L5: 3.3 vs Avg: 2.79
2026-02-01,Mitch Marner,VGK,ANA,🚀 OVER,0.8,AWAY vs ANA | SIEVE G | L5: 2.5 vs Avg: 2.0
2026-02-02,Connor Zary,CGY,TOR,🚀 OVER,0.8,HOME vs TOR | AVG G | L5: 2.1 vs Avg: 1.5
2026-02-03,Jordan Martinook,CAR,OTT,🚀 OVER,0.79,HOME vs OTT | SIEVE G | L5: 1.4 vs Avg: 1.31
2026-02-02,Steven Stamkos,NSH,STL,🚀 OVER,0.79,HOME vs STL | SIEVE G | L5: 2.5 vs Avg: 2.41
2026-02-03,Simon Holmstrom,NYI,PIT,🚀 OVER,0.77,HOME vs PIT | SIEVE G | L5: 1.2 vs Avg: 1.13
2026-02-02,Logan Cooley,UTA,VAN,🚀 OVER,0.77,HOME vs VAN | SIEVE G | L5: 2.1 vs Avg: 2.03
2026-02-03,Ryan Pulock,NYI,PIT,🚀 OVER,0.75,HOME vs PIT | SIEVE G | L5: 1.3 vs Avg: 1.25
